,name,nodes,filesystem,perf_var,perf_value,datetime,status,jobid
31849643,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3819725338938256,2023-08-03 15:11:00,completed,4120603
35635241,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.148684727556142,2023-08-03 14:07:00,completed,4119901
32217236,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.430802439791456,2023-08-03 13:03:00,completed,4119223
34425086,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.388771346319778,2023-08-03 11:59:00,completed,4118630
33597401,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1626090959578161,2023-08-03 10:52:00,completed,4117887
34190174,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3653702725423382,2023-08-03 09:49:00,completed,4117263
32230913,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3838989721294723,2023-08-03 08:44:00,completed,4116960
35405762,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.4231038201519326,2023-08-03 07:41:00,completed,4116617
33234669,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1437404386809795,2023-08-03 06:36:00,completed,4116473
36351774,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.413626434218467,2023-08-03 05:32:00,completed,4116383
34735668,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1613665051734574,2023-08-03 04:28:00,completed,4116184
36347398,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.4037759669689391,2023-08-03 03:23:00,completed,4116031
34303538,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.2024499591469309,2023-08-03 02:19:00,completed,4115942
32222566,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.380603857472251,2023-08-03 01:15:00,completed,4115785
34764678,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3817037415600169,2023-08-03 00:11:00,completed,4115489
