,name,nodes,filesystem,index,perf_var,perf_value,datetime,status,jobid
24302742,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,17,unstriped_hdf5,0.43308525779481966,2023-08-09 12:49:00,completed,4181227
37285754,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,29,unstriped_hdf5,0.43848700930341056,2023-08-09 12:49:00,completed,4181231
27151331,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work2/work/z19/z19/shared/benchio,1,work2,25,unstriped_hdf5,0.43745802022092034,2023-08-09 12:49:00,completed,4181230
25707070,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work3/work/z19/z19/shared/benchio,1,work3,21,unstriped_hdf5,0.4345685196041202,2023-08-09 12:49:00,completed,4181229
20299249,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,17,unstriped_hdf5,0.4354822899416741,2023-08-09 13:53:00,completed,4181744
36159227,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,29,unstriped_hdf5,0.43081118634651605,2023-08-09 13:53:00,completed,4181748
26009384,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work3/work/z19/z19/shared/benchio,1,work3,21,unstriped_hdf5,0.4384021295487239,2023-08-09 13:53:00,completed,4181745
26823253,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work2/work/z19/z19/shared/benchio,1,work2,25,unstriped_hdf5,0.4385311891462534,2023-08-09 13:53:00,completed,4181747
25704263,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work3/work/z19/z19/shared/benchio,1,work3,21,unstriped_hdf5,0.4370485069383628,2023-08-09 14:56:00,completed,4182308
30468712,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work2/work/z19/z19/shared/benchio,1,work2,25,unstriped_hdf5,0.43506915185833045,2023-08-09 14:56:00,completed,4182309
19139365,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,17,unstriped_hdf5,0.43364749727887775,2023-08-09 14:56:00,completed,4182307
32532830,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,29,unstriped_hdf5,0.43280087589580146,2023-08-09 14:56:00,completed,4182311
24678325,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,17,unstriped_hdf5,0.4269803965965806,2023-08-09 16:00:00,completed,4183116
26938983,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work2/work/z19/z19/shared/benchio,1,work2,25,unstriped_hdf5,0.4333276220448819,2023-08-09 16:00:00,completed,4183119
37051443,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,29,unstriped_hdf5,0.4366354324887264,2023-08-09 16:00:00,completed,4183137
26222337,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work3/work/z19/z19/shared/benchio,1,work3,21,unstriped_hdf5,0.43946984784157295,2023-08-09 16:00:00,completed,4183117
36518787,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,23,unstriped_hdf5,0.4367629745763118,2023-08-09 17:03:00,completed,4183734
20893940,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,14,unstriped_hdf5,0.4319382061456821,2023-08-09 17:03:00,completed,4183731
